c_lat,c_lon,n_lat,gr_id,e_lon,w_lon,s_lat
40.51,-73.89000000000007,40.52,43,-73.88000000000008,-73.90000000000008,40.5
40.51,-73.87000000000008,40.52,44,-73.86000000000008,-73.88000000000008,40.5
40.51,-73.85000000000008,40.52,45,-73.84000000000009,-73.86000000000008,40.5
40.51,-73.83000000000008,40.52,46,-73.82000000000009,-73.84000000000009,40.5
40.51,-73.81000000000009,40.52,47,-73.8000000000001,-73.82000000000009,40.5
40.51,-73.79000000000009,40.52,48,-73.7800000000001,-73.8000000000001,40.5
40.51,-73.7700000000001,40.52,49,-73.7600000000001,-73.7800000000001,40.5
40.53,-74.25,40.540000000000006,50,-74.24000000000001,-74.26,40.52
40.53,-74.23,40.540000000000006,51,-74.22000000000001,-74.24000000000001,40.52
40.53,-74.21000000000001,40.540000000000006,52,-74.20000000000002,-74.22000000000001,40.52
40.53,-74.19000000000001,40.540000000000006,53,-74.18000000000002,-74.20000000000002,40.52
40.53,-74.17000000000002,40.540000000000006,54,-74.16000000000003,-74.18000000000002,40.52
40.53,-74.15000000000002,40.540000000000006,55,-74.14000000000003,-74.16000000000003,40.52
40.53,-74.13000000000002,40.540000000000006,56,-74.12000000000003,-74.14000000000003,40.52
40.53,-74.11000000000003,40.540000000000006,57,-74.10000000000004,-74.12000000000003,40.52
40.53,-74.09000000000003,40.540000000000006,58,-74.08000000000004,-74.10000000000004,40.52
40.53,-74.07000000000004,40.540000000000006,59,-74.06000000000004,-74.08000000000004,40.52
40.53,-74.05000000000004,40.540000000000006,60,-74.04000000000005,-74.06000000000004,40.52
40.53,-74.03000000000004,40.540000000000006,61,-74.02000000000005,-74.04000000000005,40.52
40.53,-74.01000000000005,40.540000000000006,62,-74.00000000000006,-74.02000000000005,40.52
40.53,-73.99000000000005,40.540000000000006,63,-73.98000000000006,-74.00000000000006,40.52
40.53,-73.97000000000006,40.540000000000006,64,-73.96000000000006,-73.98000000000006,40.52
40.53,-73.95000000000006,40.540000000000006,65,-73.94000000000007,-73.96000000000006,40.52
40.53,-73.93000000000006,40.540000000000006,66,-73.92000000000007,-73.94000000000007,40.52
40.53,-73.91000000000007,40.540000000000006,67,-73.90000000000008,-73.92000000000007,40.52
40.53,-73.89000000000007,40.540000000000006,68,-73.88000000000008,-73.90000000000008,40.52
40.53,-73.87000000000008,40.540000000000006,69,-73.86000000000008,-73.88000000000008,40.52
40.53,-73.85000000000008,40.540000000000006,70,-73.84000000000009,-73.86000000000008,40.52
40.53,-73.83000000000008,40.540000000000006,71,-73.82000000000009,-73.84000000000009,40.52
40.53,-73.81000000000009,40.540000000000006,72,-73.8000000000001,-73.82000000000009,40.52
40.53,-73.79000000000009,40.540000000000006,73,-73.7800000000001,-73.8000000000001,40.52
40.53,-73.7700000000001,40.540000000000006,74,-73.7600000000001,-73.7800000000001,40.52
40.550000000000004,-74.25,40.56000000000001,75,-74.24000000000001,-74.26,40.540000000000006
40.550000000000004,-74.23,40.56000000000001,76,-74.22000000000001,-74.24000000000001,40.540000000000006
40.550000000000004,-74.21000000000001,40.56000000000001,77,-74.20000000000002,-74.22000000000001,40.540000000000006
40.550000000000004,-74.19000000000001,40.56000000000001,78,-74.18000000000002,-74.20000000000002,40.540000000000006
40.550000000000004,-74.17000000000002,40.56000000000001,79,-74.16000000000003,-74.18000000000002,40.540000000000006
40.550000000000004,-74.15000000000002,40.56000000000001,80,-74.14000000000003,-74.16000000000003,40.540000000000006
40.550000000000004,-74.13000000000002,40.56000000000001,81,-74.12000000000003,-74.14000000000003,40.540000000000006
40.550000000000004,-74.11000000000003,40.56000000000001,82,-74.10000000000004,-74.12000000000003,40.540000000000006
40.550000000000004,-74.09000000000003,40.56000000000001,83,-74.08000000000004,-74.10000000000004,40.540000000000006
40.550000000000004,-74.07000000000004,40.56000000000001,84,-74.06000000000004,-74.08000000000004,40.540000000000006
40.550000000000004,-74.05000000000004,40.56000000000001,85,-74.04000000000005,-74.06000000000004,40.540000000000006
40.550000000000004,-74.03000000000004,40.56000000000001,86,-74.02000000000005,-74.04000000000005,40.540000000000006
40.550000000000004,-74.01000000000005,40.56000000000001,87,-74.00000000000006,-74.02000000000005,40.540000000000006
40.550000000000004,-73.99000000000005,40.56000000000001,88,-73.98000000000006,-74.00000000000006,40.540000000000006
40.550000000000004,-73.97000000000006,40.56000000000001,89,-73.96000000000006,-73.98000000000006,40.540000000000006
40.550000000000004,-73.95000000000006,40.56000000000001,90,-73.94000000000007,-73.96000000000006,40.540000000000006
40.550000000000004,-73.93000000000006,40.56000000000001,91,-73.92000000000007,-73.94000000000007,40.540000000000006
40.550000000000004,-73.91000000000007,40.56000000000001,92,-73.90000000000008,-73.92000000000007,40.540000000000006
40.550000000000004,-73.89000000000007,40.56000000000001,93,-73.88000000000008,-73.90000000000008,40.540000000000006
40.550000000000004,-73.87000000000008,40.56000000000001,94,-73.86000000000008,-73.88000000000008,40.540000000000006
40.550000000000004,-73.85000000000008,40.56000000000001,95,-73.84000000000009,-73.86000000000008,40.540000000000006
40.550000000000004,-73.83000000000008,40.56000000000001,96,-73.82000000000009,-73.84000000000009,40.540000000000006
40.550000000000004,-73.81000000000009,40.56000000000001,97,-73.8000000000001,-73.82000000000009,40.540000000000006
40.550000000000004,-73.79000000000009,40.56000000000001,98,-73.7800000000001,-73.8000000000001,40.540000000000006
40.550000000000004,-73.7700000000001,40.56000000000001,99,-73.7600000000001,-73.7800000000001,40.540000000000006
40.57000000000001,-74.25,40.58000000000001,100,-74.24000000000001,-74.26,40.56000000000001
40.57000000000001,-74.23,40.58000000000001,101,-74.22000000000001,-74.24000000000001,40.56000000000001
40.57000000000001,-74.21000000000001,40.58000000000001,102,-74.20000000000002,-74.22000000000001,40.56000000000001
40.57000000000001,-74.19000000000001,40.58000000000001,103,-74.18000000000002,-74.20000000000002,40.56000000000001
40.57000000000001,-74.17000000000002,40.58000000000001,104,-74.16000000000003,-74.18000000000002,40.56000000000001
40.57000000000001,-74.15000000000002,40.58000000000001,105,-74.14000000000003,-74.16000000000003,40.56000000000001
40.57000000000001,-74.13000000000002,40.58000000000001,106,-74.12000000000003,-74.14000000000003,40.56000000000001
40.57000000000001,-74.11000000000003,40.58000000000001,107,-74.10000000000004,-74.12000000000003,40.56000000000001
